"State","County","Poverty","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","LessThanHighSchool","HighSchoolDiploma","SomeCollegeOrAssociateDegree","BachelorDegreeOrHigher","AvgAge","Long","Lat","county_fips"
"AL","Autauga",13.7,55036,26899,28137,2.74949083503055,76.7820773930754,19.2464358452138,0.305498981670061,0.916496945010183,0,35.3,18,23.2,8.1,15.4,85.9140859140859,9.59040959040959,0.0999000999000999,0.5994005994006,1.2987012987013,2.4975024975025,25.8,74.1,20.2,5.6,0.1,5.2,11.4885114885115,33.5664335664336,28.3716283716284,26.5734265734266,36.2673764453648,-86.64408227,32.53952745,"01001"
"AL","Baldwin",11.8,203360,99527,103833,4.46700507614213,84.3654822335025,9.64467005076142,0.812182741116751,0.710659898477157,0,35.7,18.2,25.6,9.7,10.8,84.7847847847848,7.60760760760761,0.1001001001001,0.800800800800801,1.1011011011011,5.60560560560561,27,80.7,12.9,6.3,0.1,5.5,9.19080919080919,27.6723276723277,31.2687312687313,31.8681318681319,39.8301100046635,-87.72207058,30.72774991,"01003"
"AL","Barbour",27.2,26201,13976,12225,4.26395939086294,46.3959390862944,48.5279187817259,0.203045685279188,0.609137055837564,0,25,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,74.1,19.1,6.5,0.3,12.4,26.8,35.6,26,11.6,38.6928287868303,-85.3871286,31.868263,"01005"
"AL","Bibb",15.2,22580,12251,10329,2.41448692152917,75.0503018108652,22.1327967806841,0.402414486921529,0,0,24.4,17.6,19.7,15.9,22.4,86.3136863136863,9.49050949050949,0.699300699300699,0.2997002997003,1.6983016983017,1.4985014985015,30,76,17.4,6.3,0.3,8.2,20.9,44.9,23.8,10.4,37.6460833515165,-87.1251146,32.99642064,"01007"
"AL","Blount",15.6,57667,28490,29177,9.15564598168871,88.911495422177,1.52594099694812,0.305188199389624,0.101729399796541,0,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35,83.983983983984,11.9119119119119,4.004004004004,0.1001001001001,4.9,19.5,33.4,34,13.1,38.2407975995255,-86.56790593,33.98210918,"01009"
"AL","Bullock",28.5,10478,5616,4862,0.30241935483871,21.7741935483871,76.2096774193548,1.00806451612903,0.705645161290323,0,19.7,17.1,18.6,14,30.6,73.1,15.7,0.3,6.2,1.7,3,29.8,81.4,13.6,5,0,12.1,25.3,40.3,22.3,12.1,38.2680960234561,-85.71265535,32.10030533,"01011"
"AL","Butler",24.4,20126,9416,10710,0.304878048780488,53.0487804878049,45.4268292682927,0.101626016260163,1.11788617886179,0,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0,0.9,0.9,2,23.2,79.1,15.3,5.3,0.3,7.6,15,45.2,23.7,16.1,39.3853057717096,-86.68057478,31.75300095,"01013"
"AL","Calhoun",18.6,115527,55593,59934,3.67722165474974,74.2594484167518,20.8375893769152,0.204290091930541,1.02145045965271,0,29,17.5,23.7,10.4,19.4,85,9.2,0.2,1.3,1.1,3.2,24.8,74.9,19.9,5.1,0.1,10.1,15.5844155844156,32.7672327672328,33.1668331668332,18.4815184815185,38.1250969874844,-85.82630386,33.77483727,"01015"
"AL","Chambers",18.8,33895,16320,17575,2.22222222222222,56.7676767676768,39.6969696969697,0.303030303030303,1.01010101010101,0,24.3,13.5,23,11.6,27.6,87.012987012987,9.69030969030969,0.1998001998002,0.599400599400599,0.4995004995005,1.998001998002,23.6,84.5,11.8,3.7,0,6.4,18.4,36.7,31.6,13.3,40.1606020751133,-85.39072749,32.91360079,"01017"
"AL","Cherokee",16.1,25855,12862,12993,1.61616161616162,92.7272727272727,5.05050505050505,0.505050505050505,0.101010101010101,0,28.7712287712288,14.7852147852148,18.0819180819181,11.8881118881119,26.4735264735265,84.9150849150849,12.0879120879121,0.3996003996004,0.2997002997003,0.2997002997003,1.998001998002,26.5,74.8,17.1,8.1,0,5.3,18.3816183816184,40.2597402597403,28.5714285714286,12.7872127872128,41.2900842664204,-85.60638968,34.17805983,"01019"
"AL","Chilton",19.4,43805,21554,22251,7.82520325203252,81.7073170731707,9.65447154471545,0.40650406504065,0.40650406504065,0,25.3,14.5,23.7,15.5,21,83.2,12.6,0.1,0.6,1.8,1.7,32.5,81.1,14,4.5,0.4,6.7,18.2182182182182,44.4444444444444,24.6246246246246,12.7127127127127,37.4091148637811,-86.7173256,32.85044126,"01021"
"AL","Choctaw",22.3,13188,6277,6911,0.505050505050505,56.8686868686869,42.5252525252525,0,0.101010101010101,0,23.6,15.4,22,17.1,21.9,81.8,13.7,0,1.7,1.2,1.6,32.7,79.9,14.8,4.9,0.4,9.8,18.6,37.7,31.8,11.9,40.928133342954,-88.2656443,32.02227341,"01023"
"AL","Clarke",25.3,24625,11649,12976,0.200803212851406,53.2128514056225,45.8835341365462,0.100401606425703,0.502008032128514,0.100401606425703,21.6,14.3,24.8,13.7,25.6,83.6163836163836,11.8881118881119,0.1998001998002,0.699300699300699,2.6973026973027,0.899100899100899,23.9,83.1,11.8,5.1,0,15.2,19.4,41.8,26.6,12.2,39.1083497851585,-87.83548597,31.68099859,"01025"
"AL","Clay",19.1,13407,6471,6936,3.13447927199191,81.0920121334681,14.8634984833165,0.910010111223458,0,0,22.2,14.6,18.4,12.9,31.9,87.5875875875876,6.00600600600601,0,2.8028028028028,0.600600600600601,3.003003003003,30.3,77.8,14.5,7.7,0,6.4,23.3,37.8,28.3,10.6,40.3702985931668,-85.85836077,33.26984193,"01027"
"AL","Cleburne",19.1,14939,7367,7572,2.43161094224924,93.9209726443769,2.83687943262411,0.303951367781155,0.506585612968592,0,25.7,11.4,23.2,18,21.7,81.8,14.5,0,0.9,0.1,2.7,33.2,76.1,15.7,8.2,0,7.8,21,38,25.6,15.4,39.2475287202778,-85.52005899,33.67679204,"01029"
